country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Mali,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,258,0,0,0,0,0,0,0,0,0,0,0,0.003875968992248062,0,0,0,0,0,0,0,0,0,0.003875968992248062,0,0,0,0,0
Mali,Combined,2012-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,612,0,0,0,0,0.0016339869281045752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016339869281045752,0,0,0
Mali,Combined,2012-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,1649,0,0,0,0,0,0.001212856276531231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001212856276531231,0,0,0
Mali,Combined,2012-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,1561,0,0,0,0,0.0012812299807815502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012812299807815502,0,0,0
Mali,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Combined,2012-07-01,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1131,1394,0,0,0,0,0,0.0028694404591104736,7.173601147776184e-4,0,7.173601147776184e-4,0,0,0,0,7.173601147776184e-4,0,0,0,7.173601147776184e-4,0,0,0,7.173601147776184e-4,0,0.003586800573888092,0.0014347202295552368,0,0
Mali,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,827,919,0,0,0,0,0,0,0,0,0,0,0,0.001088139281828074,0,0,0,0,0,0,0,0,0,0.001088139281828074,0,0,0,0,0
Mali,Combined,2012-09-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1163,1306,0,0,0,0,0,0,0,7.656967840735069e-4,0,0,0,7.656967840735069e-4,0,0,0,0,0,0.0015313935681470138,0,0,0,7.656967840735069e-4,0,7.656967840735069e-4,0.0015313935681470138,0,0
Mali,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
