country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Senegal,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,1159,0,0,0,0,0,8.628127696289905e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.628127696289905e-4,0,0,0
Senegal,China,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2012-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,1193,0,0,0,0,0,0,8.382229673093043e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.382229673093043e-4,0,0,0
Senegal,China,2012-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1176,1208,0,0,0,0,0,0,0,0.0016556291390728477,0,0,0,0,0,0,0,0,0,0,8.278145695364238e-4,0,0,0,0,0.0016556291390728477,8.278145695364238e-4,0,0
Senegal,China,2012-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,1087,0,0,0,0,0,0,0,9.199632014719411e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.199632014719411e-4,0,0,0
Senegal,China,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1048,1116,0,0,0,0,0,0,0,0,0,8.960573476702509e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.960573476702509e-4,0,0
Senegal,China,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1186,1223,0,0,0,0,0,0,0,0,0,0.00081766148814390845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081766148814390845,0,0
Senegal,China,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,1298,0,0,7.704160246533128e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.704160246533128e-4,0
Senegal,China,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,China,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,977,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.823182711198428e-4,0,0,0,0,0,9.823182711198428e-4,0,0
Senegal,China,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1052,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.149130832570906e-4,0,0,0,0,0,0,0,0,0,9.149130832570906e-4
Senegal,China,2013-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1117,8.952551477170994e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.952551477170994e-4,0,0,0,0,0
Senegal,China,2014-01-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,1148,0,0,0,0,0,0.0017421602787456446,8.710801393728223e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002613240418118467,0,0,0
Senegal,China,2014-02-01,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1086,1118,0,0,0,0,0,0.0017889087656529517,0,0,0,0.0017889087656529517,0,0,0,0,0,0,8.944543828264759e-4,0,0,0,0,0,0,0.0017889087656529517,0.0017889087656529517,0,8.944543828264759e-4
Senegal,China,2014-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1108,1147,0,0,0,0,0,0,0,0,8.718395815170009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.718395815170009e-4,0,0
Senegal,China,2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
