country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Moldova,Combined,2012-01-01,0,1,0,5,3,1,5,0,2,5,0,5,0,7,0,0,0,0,0,1,0,1693,1738,0,5.753739930955121e-4,0,0.0028768699654775605,0.0017261219792865361,5.753739930955121e-4,0.0028768699654775605,0,0.0011507479861910242,0.0028768699654775605,0,0.0028768699654775605,0,0.004027617951668585,0,0,0,0,0,5.753739930955121e-4,0,0.0069044879171461454,5.753739930955121e-4,0.00805523590333717,0.004602991944764097,0,0
Moldova,Combined,2012-02-01,0,0,0,1,1,0,0,2,0,1,0,4,0,3,1,0,1,0,1,0,0,1932,1951,0,0,0,5.125576627370579e-4,5.125576627370579e-4,0,0,0.0010251153254741158,0,5.125576627370579e-4,0,0.0020502306509482316,0,0.0015376729882111738,5.125576627370579e-4,0,5.125576627370579e-4,0,5.125576627370579e-4,0,0,0.0035879036391594054,0,0.0020502306509482316,0.0010251153254741158,5.125576627370579e-4,5.125576627370579e-4
Moldova,Combined,2012-03-01,0,0,0,0,2,0,3,0,2,5,0,3,0,5,10,1,0,0,0,1,1,1966,2016,0,0,0,0,9.92063492063492e-4,0,0.001488095238095238,0,9.92063492063492e-4,0.00248015873015873,0,0.001488095238095238,0,0.00248015873015873,0.00496031746031746,4.96031746031746e-4,0,0,0,4.96031746031746e-4,4.96031746031746e-4,0.004464285714285714,4.96031746031746e-4,0.00248015873015873,0.003968253968253968,0.00496031746031746,0
Moldova,Combined,2012-04-01,1,0,0,2,1,11,3,6,1,1,0,3,0,6,0,0,0,2,0,1,1,1626,1681,5.94883997620464e-4,0,0,0.001189767995240928,5.94883997620464e-4,0.006543723973825104,0.001784651992861392,0.003569303985722784,5.94883997620464e-4,5.94883997620464e-4,0,0.001784651992861392,0,0.003569303985722784,0,0,0,0.001189767995240928,0,5.94883997620464e-4,5.94883997620464e-4,0.00594883997620464,5.94883997620464e-4,0.013682331945270673,0.0029744199881023203,0,0
Moldova,Combined,2012-05-01,0,0,0,6,0,3,3,5,1,0,0,0,0,4,0,1,0,0,0,0,1,1949,1991,0,0,0,0.0030135610246107484,0,0.0015067805123053742,0.0015067805123053742,0.0025113008538422904,5.022601707684581e-4,0,0,0,0,0.0020090406830738324,0,5.022601707684581e-4,0,0,0,0,5.022601707684581e-4,0.0025113008538422904,5.022601707684581e-4,0.008538422903063787,5.022601707684581e-4,0,0
Moldova,Combined,2012-06-01,0,0,0,0,0,5,0,4,0,3,0,3,0,1,0,0,0,0,0,0,0,1990,2007,0,0,0,0,0,0.002491280518186348,0,0.001993024414549078,0,0.0014947683109118087,0,0.0014947683109118087,0,4.982561036372695e-4,0,0,0,0,0,0,0,0.001993024414549078,0,0.004484304932735426,0.0014947683109118087,0,0
Moldova,Combined,2012-07-01,0,0,0,2,0,0,1,3,0,1,0,1,0,3,0,0,0,0,1,0,0,1983,2010,0,0,0,9.950248756218905e-4,0,0,4.975124378109452e-4,0.0014925373134328358,0,4.975124378109452e-4,0,4.975124378109452e-4,0,0.0014925373134328358,0,0,0,0,4.975124378109452e-4,0,0,0.001990049751243781,0,0.0029850746268656717,9.950248756218905e-4,0,0
Moldova,Combined,2012-08-01,0,0,0,0,2,1,2,2,0,2,0,1,0,2,1,0,0,0,0,0,1,1802,1854,0,0,0,0,0.0010787486515641855,5.393743257820927e-4,0.0010787486515641855,0.0010787486515641855,0,0.0010787486515641855,0,5.393743257820927e-4,0,0.0010787486515641855,5.393743257820927e-4,0,0,0,0,0,5.393743257820927e-4,0.0016181229773462782,5.393743257820927e-4,0.003775620280474649,0.0010787486515641855,5.393743257820927e-4,0
Moldova,Combined,2012-09-01,1,1,0,1,1,3,2,8,0,7,1,3,0,5,1,0,2,0,5,0,1,1937,1994,5.015045135406219e-4,5.015045135406219e-4,0,5.015045135406219e-4,5.015045135406219e-4,0.0015045135406218655,0.0010030090270812437,0.004012036108324975,0,0.003510531594784353,5.015045135406219e-4,0.0015045135406218655,0,0.0025075225677031092,5.015045135406219e-4,0,0.0010030090270812437,0,0.0025075225677031092,0,5.015045135406219e-4,0.004513540621865596,0.0010030090270812437,0.007522567703109328,0.006018054162487463,0.0010030090270812437,0.0010030090270812437
Moldova,Combined,2012-10-01,0,0,0,0,0,0,7,2,2,2,0,3,0,6,0,2,0,0,4,0,0,1852,1887,0,0,0,0,0,0,0.0037095919448860626,0.0010598834128245894,0.0010598834128245894,0.0010598834128245894,0,0.001589825119236884,0,0.003179650238473768,0,0.0010598834128245894,0,0,0.0021197668256491787,0,0,0.005829358770535241,0,0.0047694753577106515,0.0042395336512983575,0,0
