country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Nigeria,China,2012-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1805,2119,0,0,0,0,0,0,4.7192071731949034e-4,0,0,4.7192071731949034e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7192071731949034e-4,4.7192071731949034e-4,0,0
Nigeria,China,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1920,2057,0,0,0,0,0,0,0,0,0,4.861448711716091e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.861448711716091e-4,0,0
Nigeria,China,2012-03-01,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2225,2411,0,0,0,0,0,0,0,4.1476565740356696e-4,0,0,0,8.295313148071339e-4,0,0,0,0,0,4.1476565740356696e-4,0,0,0,8.295313148071339e-4,0,4.1476565740356696e-4,4.1476565740356696e-4,0,0
Nigeria,China,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,China,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2115,2308,0,0,0,0,0,0,0,0,0,4.332755632582322e-4,0,4.332755632582322e-4,0,4.332755632582322e-4,0,0,4.332755632582322e-4,0,0,0,4.332755632582322e-4,8.665511265164644e-4,4.332755632582322e-4,0,4.332755632582322e-4,0,4.332755632582322e-4
Nigeria,China,2012-06-01,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,0,1,1,0,0,0,2112,2385,0,0,0,0,0,4.192872117400419e-4,0,0,0,8.385744234800838e-4,0,0.0012578616352201257,0,4.192872117400419e-4,0,0,4.192872117400419e-4,4.192872117400419e-4,0,0,0,0.0016771488469601676,0,4.192872117400419e-4,0.0012578616352201257,0,4.192872117400419e-4
Nigeria,China,2012-07-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2404,2687,0,0,0,0,0,0,0,0,0,3.721622627465575e-4,0,3.721622627465575e-4,0,0,0,0,0,0,0,0,0,3.721622627465575e-4,0,0,3.721622627465575e-4,0,0
Nigeria,China,2012-08-01,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2501,2741,0,0,0,0,0,3.6483035388544326e-4,0,0,0,0.0010944910616563297,0,0,0,0,0,0,3.6483035388544326e-4,0,0,0,0,0,0,3.6483035388544326e-4,0.0010944910616563297,0,3.6483035388544326e-4
Nigeria,China,2012-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2174,2354,0,0,0,0,0,0,0,0,4.248088360237893e-4,0,0,0,0,0,0,0,8.496176720475786e-4,4.248088360237893e-4,0,0,0,0,0,0,8.496176720475786e-4,0,8.496176720475786e-4
Nigeria,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2373,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.831417624521073e-4,0,3.831417624521073e-4,0,0,0,0
