country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Costa Rica,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Combined,2012-04-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249,251,0.00398406374501992,0,0,0,0,0,0,0,0,0.00398406374501992,0,0,0,0,0,0,0,0,0,0,0,0.00398406374501992,0,0,0.00398406374501992,0,0
Costa Rica,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,319,322,0,0,0,0,0,0,0,0,0,0,0,0.003105590062111801,0,0,0,0,0,0,0.006211180124223602,0,0,0.003105590062111801,0,0,0.006211180124223602,0,0
Costa Rica,Combined,2012-06-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,297,300,0,0,0,0,0,0.0033333333333333335,0,0.0033333333333333335,0,0.0033333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0.0033333333333333335,0,0
Costa Rica,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Combined,2012-08-01,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,0,0,0,2,0,0,334,343,0,0,0,0,0,0.0029154518950437317,0,0.0058309037900874635,0,0.008746355685131196,0,0.0029154518950437317,0,0,0,0,0,0,0.0058309037900874635,0,0,0.0029154518950437317,0,0.008746355685131196,0.014577259475218658,0,0
Costa Rica,Combined,2012-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,271,0.0036900369003690036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036900369003690036,0,0,0,0,0
Costa Rica,Combined,2012-10-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,311,315,0,0,0,0,0,0,0,0,0.0031746031746031746,0.0031746031746031746,0,0,0,0,0,0,0,0,0.006349206349206349,0,0,0,0,0,0.012698412698412698,0,0
Costa Rica,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,608,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001639344262295082,0,0,0.001639344262295082,0,0,0,0,0.001639344262295082,0,0,0,0,0.001639344262295082
Costa Rica,Combined,2012-12-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,482,484,0,0,0,0,0,0,0,0,0.002066115702479339,0,0,0.002066115702479339,0,0,0,0,0,0,0,0,0,0.002066115702479339,0,0,0.002066115702479339,0,0
Costa Rica,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,530,531,0,0,0,0,0,0,0,0,0,0.0018832391713747645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018832391713747645,0,0
Costa Rica,Combined,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Combined,2013-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536,537,0,0,0,0,0,0,0,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186219739292365,0,0,0
Costa Rica,Combined,2013-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1275,1278,0,0,0,0,0,0,0,7.82472613458529e-4,0,0,0,0,0,7.82472613458529e-4,0,0,7.82472613458529e-4,0,0,0,0,7.82472613458529e-4,0,7.82472613458529e-4,0,0,7.82472613458529e-4
